Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «две полоски тест», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
13 марта 2023 – 19 марта 2023;5 737;0,00020;
20 марта 2023 – 26 марта 2023;6 157;0,00022;
27 марта 2023 – 2 апреля 2023;9 798;0,00035;
3 апреля 2023 – 9 апреля 2023;5 478;0,00020;
10 апреля 2023 – 16 апреля 2023;4 898;0,00018;
17 апреля 2023 – 23 апреля 2023;4 920;0,00018;
24 апреля 2023 – 30 апреля 2023;5 188;0,00019;
1 мая 2023 – 7 мая 2023;4 800;0,00018;
8 мая 2023 – 14 мая 2023;4 798;0,00019;
15 мая 2023 – 21 мая 2023;4 810;0,00018;
22 мая 2023 – 28 мая 2023;4 840;0,00019;
29 мая 2023 – 4 июня 2023;4 572;0,00018;
5 июня 2023 – 11 июня 2023;4 659;0,00019;
12 июня 2023 – 18 июня 2023;4 644;0,00019;
19 июня 2023 – 25 июня 2023;4 632;0,00019;
26 июня 2023 – 2 июля 2023;4 755;0,00020;
3 июля 2023 – 9 июля 2023;4 755;0,00021;
10 июля 2023 – 16 июля 2023;4 952;0,00021;
17 июля 2023 – 23 июля 2023;4 773;0,00021;
24 июля 2023 – 30 июля 2023;5 122;0,00022;
31 июля 2023 – 6 августа 2023;4 854;0,00021;
7 августа 2023 – 13 августа 2023;5 129;0,00022;
14 августа 2023 – 20 августа 2023;4 882;0,00021;
21 августа 2023 – 27 августа 2023;4 506;0,00020;
28 августа 2023 – 3 сентября 2023;4 436;0,00019;
4 сентября 2023 – 10 сентября 2023;4 645;0,00019;
11 сентября 2023 – 17 сентября 2023;4 929;0,00019;
18 сентября 2023 – 24 сентября 2023;4 831;0,00018;
25 сентября 2023 – 1 октября 2023;4 862;0,00018;
2 октября 2023 – 8 октября 2023;5 021;0,00019;
9 октября 2023 – 15 октября 2023;5 181;0,00019;
16 октября 2023 – 22 октября 2023;5 236;0,00019;
23 октября 2023 – 29 октября 2023;5 235;0,00019;
30 октября 2023 – 5 ноября 2023;5 252;0,00020;
6 ноября 2023 – 12 ноября 2023;5 307;0,00019;
13 ноября 2023 – 19 ноября 2023;5 418;0,00019;
20 ноября 2023 – 26 ноября 2023;5 535;0,00019;
27 ноября 2023 – 3 декабря 2023;5 455;0,00019;
4 декабря 2023 – 10 декабря 2023;5 253;0,00018;
11 декабря 2023 – 17 декабря 2023;5 008;0,00017;
18 декабря 2023 – 24 декабря 2023;4 895;0,00017;
25 декабря 2023 – 31 декабря 2023;4 479;0,00018;
1 января 2024 – 7 января 2024;4 998;0,00021;
8 января 2024 – 14 января 2024;5 481;0,00020;
15 января 2024 – 21 января 2024;6 069;0,00021;
22 января 2024 – 28 января 2024;6 206;0,00021;
29 января 2024 – 4 февраля 2024;6 066;0,00021;
5 февраля 2024 – 11 февраля 2024;5 801;0,00020;
12 февраля 2024 – 18 февраля 2024;5 455;0,00018;
19 февраля 2024 – 25 февраля 2024;5 266;0,00019;
