Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «телеграмм», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
29 августа 2022 – 4 сентября 2022;3 204 289;0,1271;
5 сентября 2022 – 11 сентября 2022;3 736 234;0,1382;
12 сентября 2022 – 18 сентября 2022;3 814 530;0,1395;
19 сентября 2022 – 25 сентября 2022;4 141 264;0,1491;
26 сентября 2022 – 2 октября 2022;4 437 215;0,1634;
3 октября 2022 – 9 октября 2022;4 441 055;0,1631;
10 октября 2022 – 16 октября 2022;4 822 690;0,1754;
17 октября 2022 – 23 октября 2022;4 535 760;0,1564;
24 октября 2022 – 30 октября 2022;4 467 580;0,1585;
31 октября 2022 – 6 ноября 2022;4 112 313;0,1490;
7 ноября 2022 – 13 ноября 2022;4 200 836;0,1464;
14 ноября 2022 – 20 ноября 2022;4 354 074;0,1452;
21 ноября 2022 – 27 ноября 2022;4 152 273;0,1392;
28 ноября 2022 – 4 декабря 2022;3 763 372;0,1268;
5 декабря 2022 – 11 декабря 2022;3 884 428;0,1311;
12 декабря 2022 – 18 декабря 2022;3 713 518;0,1266;
19 декабря 2022 – 25 декабря 2022;3 651 500;0,1263;
26 декабря 2022 – 1 января 2023;3 218 706;0,1341;
2 января 2023 – 8 января 2023;3 477 678;0,1432;
9 января 2023 – 15 января 2023;4 004 237;0,1413;
16 января 2023 – 22 января 2023;3 800 414;0,1310;
23 января 2023 – 29 января 2023;3 834 611;0,1323;
30 января 2023 – 5 февраля 2023;3 792 822;0,1316;
6 февраля 2023 – 12 февраля 2023;3 956 243;0,1373;
13 февраля 2023 – 19 февраля 2023;3 875 421;0,1350;
20 февраля 2023 – 26 февраля 2023;3 799 442;0,1400;
27 февраля 2023 – 5 марта 2023;3 951 846;0,1376;
6 марта 2023 – 12 марта 2023;3 581 667;0,1309;
13 марта 2023 – 19 марта 2023;3 642 990;0,1278;
20 марта 2023 – 26 марта 2023;3 595 301;0,1304;
27 марта 2023 – 2 апреля 2023;3 575 153;0,1310;
3 апреля 2023 – 9 апреля 2023;3 423 363;0,1250;
10 апреля 2023 – 16 апреля 2023;3 296 294;0,1223;
17 апреля 2023 – 23 апреля 2023;3 308 240;0,1231;
24 апреля 2023 – 30 апреля 2023;3 241 324;0,1230;
1 мая 2023 – 7 мая 2023;3 494 084;0,1381;
8 мая 2023 – 14 мая 2023;3 635 513;0,1451;
15 мая 2023 – 21 мая 2023;3 474 988;0,1337;
22 мая 2023 – 28 мая 2023;3 545 069;0,1418;
29 мая 2023 – 4 июня 2023;3 693 160;0,1513;
5 июня 2023 – 11 июня 2023;3 727 877;0,1555;
