Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «написать завещание», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
25 апреля 2022 – 1 мая 2022;3 236;0,000122;
2 мая 2022 – 8 мая 2022;3 022;0,000120;
9 мая 2022 – 15 мая 2022;3 463;0,000128;
16 мая 2022 – 22 мая 2022;4 138;0,000145;
23 мая 2022 – 29 мая 2022;3 512;0,000128;
30 мая 2022 – 5 июня 2022;2 817;0,000110;
6 июня 2022 – 12 июня 2022;3 078;0,000124;
13 июня 2022 – 19 июня 2022;3 223;0,000131;
20 июня 2022 – 26 июня 2022;3 456;0,000136;
27 июня 2022 – 3 июля 2022;2 806;0,000117;
4 июля 2022 – 10 июля 2022;2 624;0,000112;
11 июля 2022 – 17 июля 2022;2 799;0,000118;
18 июля 2022 – 24 июля 2022;3 003;0,000127;
25 июля 2022 – 31 июля 2022;2 716;0,000115;
1 августа 2022 – 7 августа 2022;2 573;0,000109;
8 августа 2022 – 14 августа 2022;2 874;0,000121;
15 августа 2022 – 21 августа 2022;2 739;0,000112;
22 августа 2022 – 28 августа 2022;2 687;0,000110;
29 августа 2022 – 4 сентября 2022;2 737;0,000108;
5 сентября 2022 – 11 сентября 2022;2 769;0,000102;
12 сентября 2022 – 18 сентября 2022;2 911;0,000106;
19 сентября 2022 – 25 сентября 2022;5 986;0,000215;
26 сентября 2022 – 2 октября 2022;5 421;0,000199;
3 октября 2022 – 9 октября 2022;3 967;0,000145;
10 октября 2022 – 16 октября 2022;3 647;0,000132;
17 октября 2022 – 23 октября 2022;3 698;0,000127;
24 октября 2022 – 30 октября 2022;3 437;0,000121;
31 октября 2022 – 6 ноября 2022;3 275;0,000118;
7 ноября 2022 – 13 ноября 2022;3 805;0,000132;
14 ноября 2022 – 20 ноября 2022;3 596;0,000119;
21 ноября 2022 – 27 ноября 2022;3 779;0,000126;
28 ноября 2022 – 4 декабря 2022;3 474;0,000117;
5 декабря 2022 – 11 декабря 2022;3 673;0,000123;
12 декабря 2022 – 18 декабря 2022;3 746;0,000127;
19 декабря 2022 – 25 декабря 2022;3 288;0,000113;
26 декабря 2022 – 1 января 2023;2 078;0,000086;
2 января 2023 – 8 января 2023;2 580;0,000106;
9 января 2023 – 15 января 2023;3 483;0,000122;
16 января 2023 – 22 января 2023;3 964;0,000136;
23 января 2023 – 29 января 2023;4 192;0,000144;
30 января 2023 – 5 февраля 2023;4 459;0,000154;
6 февраля 2023 – 12 февраля 2023;4 623;0,000160;
13 февраля 2023 – 19 февраля 2023;4 693;0,000163;
20 февраля 2023 – 26 февраля 2023;3 624;0,000133;
27 февраля 2023 – 5 марта 2023;4 999;0,000174;
6 марта 2023 – 12 марта 2023;3 750;0,000137;
13 марта 2023 – 19 марта 2023;4 375;0,000153;
20 марта 2023 – 26 марта 2023;4 091;0,000148;
27 марта 2023 – 2 апреля 2023;3 884;0,000142;
3 апреля 2023 – 9 апреля 2023;3 872;0,000141;
10 апреля 2023 – 16 апреля 2023;3 736;0,000138;
17 апреля 2023 – 23 апреля 2023;4 114;0,000153;
24 апреля 2023 – 30 апреля 2023;3 965;0,000150;
1 мая 2023 – 7 мая 2023;3 529;0,000139;
8 мая 2023 – 14 мая 2023;3 781;0,000150;
15 мая 2023 – 21 мая 2023;4 137;0,000159;
22 мая 2023 – 28 мая 2023;3 908;0,000156;
29 мая 2023 – 4 июня 2023;3 191;0,000130;
5 июня 2023 – 11 июня 2023;3 210;0,000133;
12 июня 2023 – 18 июня 2023;3 074;0,000131;
19 июня 2023 – 25 июня 2023;2 987;0,000125;
26 июня 2023 – 2 июля 2023;2 883;0,000123;
3 июля 2023 – 9 июля 2023;2 808;0,000124;
