Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «тик ток», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
7 февраля 2022 – 13 февраля 2022;2 802 409;0,092883;
14 февраля 2022 – 20 февраля 2022;2 640 534;0,089570;
21 февраля 2022 – 27 февраля 2022;2 719 015;0,096192;
28 февраля 2022 – 6 марта 2022;2 796 351;0,097245;
7 марта 2022 – 13 марта 2022;5 809 657;0,208790;
14 марта 2022 – 20 марта 2022;3 659 514;0,125780;
21 марта 2022 – 27 марта 2022;3 346 209;0,117996;
28 марта 2022 – 3 апреля 2022;2 578 738;0,090785;
4 апреля 2022 – 10 апреля 2022;2 199 938;0,077382;
11 апреля 2022 – 17 апреля 2022;2 003 783;0,071727;
18 апреля 2022 – 24 апреля 2022;1 967 412;0,071144;
25 апреля 2022 – 1 мая 2022;1 807 714;0,068250;
2 мая 2022 – 8 мая 2022;1 799 621;0,072018;
9 мая 2022 – 15 мая 2022;1 789 966;0,066395;
16 мая 2022 – 22 мая 2022;1 771 612;0,062484;
23 мая 2022 – 29 мая 2022;1 756 936;0,064386;
30 мая 2022 – 5 июня 2022;1 717 494;0,067620;
6 июня 2022 – 12 июня 2022;1 676 875;0,068033;
13 июня 2022 – 19 июня 2022;1 667 616;0,067862;
20 июня 2022 – 26 июня 2022;1 641 532;0,064662;
27 июня 2022 – 3 июля 2022;1 513 801;0,063499;
4 июля 2022 – 10 июля 2022;1 519 288;0,065169;
11 июля 2022 – 17 июля 2022;1 591 567;0,067224;
18 июля 2022 – 24 июля 2022;1 556 854;0,066022;
25 июля 2022 – 31 июля 2022;1 593 968;0,067611;
1 августа 2022 – 7 августа 2022;1 549 429;0,065855;
8 августа 2022 – 14 августа 2022;1 571 674;0,066368;
15 августа 2022 – 21 августа 2022;1 623 792;0,066967;
22 августа 2022 – 28 августа 2022;1 597 772;0,065540;
29 августа 2022 – 4 сентября 2022;1 704 344;0,067605;
5 сентября 2022 – 11 сентября 2022;1 528 025;0,056552;
12 сентября 2022 – 18 сентября 2022;1 540 560;0,056359;
19 сентября 2022 – 25 сентября 2022;1 569 311;0,056512;
26 сентября 2022 – 2 октября 2022;1 631 003;0,060070;
3 октября 2022 – 9 октября 2022;1 526 755;0,056096;
10 октября 2022 – 16 октября 2022;1 471 001;0,053507;
17 октября 2022 – 23 октября 2022;1 591 563;0,054911;
24 октября 2022 – 30 октября 2022;1 645 431;0,058384;
31 октября 2022 – 6 ноября 2022;1 675 611;0,060750;
7 ноября 2022 – 13 ноября 2022;1 498 299;0,052242;
14 ноября 2022 – 20 ноября 2022;1 748 535;0,058328;
21 ноября 2022 – 27 ноября 2022;1 811 561;0,060752;
28 ноября 2022 – 4 декабря 2022;1 759 850;0,059295;
5 декабря 2022 – 11 декабря 2022;1 828 126;0,061713;
12 декабря 2022 – 18 декабря 2022;1 786 689;0,060921;
19 декабря 2022 – 25 декабря 2022;1 834 883;0,063477;
26 декабря 2022 – 1 января 2023;1 875 438;0,078169;
2 января 2023 – 8 января 2023;1 971 241;0,081204;
9 января 2023 – 15 января 2023;1 913 212;0,067515;
16 января 2023 – 22 января 2023;1 857 377;0,064062;
23 января 2023 – 29 января 2023;1 864 455;0,064337;
30 января 2023 – 5 февраля 2023;1 871 546;0,064967;
6 февраля 2023 – 12 февраля 2023;1 930 483;0,067021;
13 февраля 2023 – 19 февраля 2023;1 882 442;0,065588;
20 февраля 2023 – 26 февраля 2023;2 127 512;0,078430;
27 февраля 2023 – 5 марта 2023;2 066 817;0,071992;
6 марта 2023 – 12 марта 2023;2 230 392;0,081527;
