Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «с днем рождения», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 августа 2022 – 7 августа 2022;9 835 541;0,41;
8 августа 2022 – 14 августа 2022;9 643 035;0,40;
15 августа 2022 – 21 августа 2022;9 417 237;0,38;
22 августа 2022 – 28 августа 2022;9 151 803;0,37;
29 августа 2022 – 4 сентября 2022;9 294 293;0,36;
5 сентября 2022 – 11 сентября 2022;9 564 397;0,35;
12 сентября 2022 – 18 сентября 2022;9 438 196;0,34;
19 сентября 2022 – 25 сентября 2022;9 158 619;0,32;
26 сентября 2022 – 2 октября 2022;9 178 498;0,33;
3 октября 2022 – 9 октября 2022;10 250 488;0,37;
10 октября 2022 – 16 октября 2022;9 649 762;0,35;
17 октября 2022 – 23 октября 2022;9 575 604;0,33;
24 октября 2022 – 30 октября 2022;9 351 096;0,33;
31 октября 2022 – 6 ноября 2022;10 462 175;0,37;
7 ноября 2022 – 13 ноября 2022;9 453 706;0,32;
14 ноября 2022 – 20 ноября 2022;9 915 249;0,33;
21 ноября 2022 – 27 ноября 2022;9 136 384;0,30;
28 ноября 2022 – 4 декабря 2022;9 303 359;0,31;
5 декабря 2022 – 11 декабря 2022;8 996 691;0,30;
12 декабря 2022 – 18 декабря 2022;8 400 512;0,28;
19 декабря 2022 – 25 декабря 2022;8 164 574;0,28;
26 декабря 2022 – 1 января 2023;6 752 584;0,28;
2 января 2023 – 8 января 2023;7 775 469;0,32;
9 января 2023 – 15 января 2023;9 007 678;0,31;
16 января 2023 – 22 января 2023;9 380 835;0,32;
23 января 2023 – 29 января 2023;9 681 186;0,33;
30 января 2023 – 5 февраля 2023;9 848 350;0,34;
6 февраля 2023 – 12 февраля 2023;9 501 279;0,32;
13 февраля 2023 – 19 февраля 2023;9 273 421;0,32;
20 февраля 2023 – 26 февраля 2023;8 893 788;0,32;
27 февраля 2023 – 5 марта 2023;9 918 665;0,34;
6 марта 2023 – 12 марта 2023;9 374 177;0,34;
13 марта 2023 – 19 марта 2023;9 705 187;0,34;
20 марта 2023 – 26 марта 2023;9 382 765;0,34;
27 марта 2023 – 2 апреля 2023;9 560 182;0,35;
3 апреля 2023 – 9 апреля 2023;9 001 243;0,32;
10 апреля 2023 – 16 апреля 2023;8 841 882;0,32;
17 апреля 2023 – 23 апреля 2023;9 229 338;0,34;
24 апреля 2023 – 30 апреля 2023;8 742 087;0,33;
1 мая 2023 – 7 мая 2023;8 771 047;0,34;
8 мая 2023 – 14 мая 2023;8 631 338;0,34;
15 мая 2023 – 21 мая 2023;8 839 174;0,34;
22 мая 2023 – 28 мая 2023;8 538 070;0,34;
29 мая 2023 – 4 июня 2023;8 627 296;0,35;
5 июня 2023 – 11 июня 2023;8 665 445;0,36;
12 июня 2023 – 18 июня 2023;8 405 831;0,35;
19 июня 2023 – 25 июня 2023;8 473 350;0,35;
26 июня 2023 – 2 июля 2023;8 437 560;0,36;
3 июля 2023 – 9 июля 2023;8 200 255;0,36;
10 июля 2023 – 16 июля 2023;8 483 437;0,37;
17 июля 2023 – 23 июля 2023;8 309 818;0,36;
24 июля 2023 – 30 июля 2023;8 370 886;0,36;
31 июля 2023 – 6 августа 2023;8 551 108;0,38;
