Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «самоубийство», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
16 августа 2021 – 22 августа 2021;46 908;0,0020;
23 августа 2021 – 29 августа 2021;42 412;0,0018;
30 августа 2021 – 5 сентября 2021;43 601;0,0018;
6 сентября 2021 – 12 сентября 2021;49 317;0,0020;
13 сентября 2021 – 19 сентября 2021;88 322;0,0035;
20 сентября 2021 – 26 сентября 2021;77 749;0,0030;
27 сентября 2021 – 3 октября 2021;60 084;0,0023;
4 октября 2021 – 10 октября 2021;62 227;0,0024;
11 октября 2021 – 17 октября 2021;64 898;0,0024;
18 октября 2021 – 24 октября 2021;70 152;0,0026;
25 октября 2021 – 31 октября 2021;62 209;0,0024;
1 ноября 2021 – 7 ноября 2021;64 160;0,0026;
8 ноября 2021 – 14 ноября 2021;62 771;0,0023;
15 ноября 2021 – 21 ноября 2021;60 303;0,0021;
22 ноября 2021 – 28 ноября 2021;63 748;0,0023;
29 ноября 2021 – 5 декабря 2021;59 539;0,0021;
6 декабря 2021 – 12 декабря 2021;59 178;0,0021;
13 декабря 2021 – 19 декабря 2021;78 868;0,0028;
20 декабря 2021 – 26 декабря 2021;55 032;0,0020;
27 декабря 2021 – 2 января 2022;43 355;0,0019;
3 января 2022 – 9 января 2022;45 529;0,0019;
10 января 2022 – 16 января 2022;54 983;0,0020;
17 января 2022 – 23 января 2022;57 562;0,0020;
24 января 2022 – 30 января 2022;64 397;0,0022;
31 января 2022 – 6 февраля 2022;68 629;0,0023;
7 февраля 2022 – 13 февраля 2022;61 270;0,0020;
14 февраля 2022 – 20 февраля 2022;58 687;0,0019;
21 февраля 2022 – 27 февраля 2022;61 349;0,0021;
28 февраля 2022 – 6 марта 2022;61 654;0,0021;
7 марта 2022 – 13 марта 2022;56 585;0,0020;
14 марта 2022 – 20 марта 2022;54 525;0,0018;
21 марта 2022 – 27 марта 2022;56 899;0,0020;
28 марта 2022 – 3 апреля 2022;57 819;0,0020;
4 апреля 2022 – 10 апреля 2022;53 301;0,0018;
11 апреля 2022 – 17 апреля 2022;51 748;0,0018;
18 апреля 2022 – 24 апреля 2022;62 340;0,0022;
25 апреля 2022 – 1 мая 2022;60 327;0,0022;
2 мая 2022 – 8 мая 2022;51 921;0,0020;
9 мая 2022 – 15 мая 2022;54 409;0,0020;
16 мая 2022 – 22 мая 2022;57 290;0,0020;
23 мая 2022 – 29 мая 2022;54 388;0,0019;
30 мая 2022 – 5 июня 2022;49 113;0,0019;
6 июня 2022 – 12 июня 2022;48 799;0,0019;
13 июня 2022 – 19 июня 2022;49 906;0,0020;
20 июня 2022 – 26 июня 2022;47 626;0,0018;
27 июня 2022 – 3 июля 2022;44 816;0,0018;
4 июля 2022 – 10 июля 2022;40 557;0,0017;
11 июля 2022 – 17 июля 2022;40 172;0,0016;
18 июля 2022 – 24 июля 2022;41 328;0,0017;
25 июля 2022 – 31 июля 2022;44 470;0,0018;
1 августа 2022 – 7 августа 2022;41 477;0,0017;
8 августа 2022 – 14 августа 2022;43 150;0,0018;
15 августа 2022 – 21 августа 2022;45 593;0,0018;
22 августа 2022 – 28 августа 2022;42 897;0,0017;
29 августа 2022 – 4 сентября 2022;43 660;0,0017;
5 сентября 2022 – 11 сентября 2022;45 473;0,0016;
12 сентября 2022 – 18 сентября 2022;47 343;0,0017;
19 сентября 2022 – 25 сентября 2022;50 765;0,0018;
26 сентября 2022 – 2 октября 2022;53 905;0,0019;
3 октября 2022 – 9 октября 2022;57 409;0,0021;
10 октября 2022 – 16 октября 2022;53 419;0,0019;
17 октября 2022 – 23 октября 2022;56 478;0,0019;
24 октября 2022 – 30 октября 2022;59 859;0,0021;
31 октября 2022 – 6 ноября 2022;58 050;0,0021;
7 ноября 2022 – 13 ноября 2022;58 266;0,0020;
14 ноября 2022 – 20 ноября 2022;61 059;0,0020;
21 ноября 2022 – 27 ноября 2022;58 846;0,0019;
28 ноября 2022 – 4 декабря 2022;55 986;0,0018;
5 декабря 2022 – 11 декабря 2022;55 159;0,0018;
12 декабря 2022 – 18 декабря 2022;56 968;0,0019;
19 декабря 2022 – 25 декабря 2022;55 722;0,0019;
26 декабря 2022 – 1 января 2023;41 753;0,0017;
2 января 2023 – 8 января 2023;44 135;0,0018;
9 января 2023 – 15 января 2023;50 371;0,0017;
16 января 2023 – 22 января 2023;53 926;0,0018;
23 января 2023 – 29 января 2023;54 071;0,0018;
30 января 2023 – 5 февраля 2023;54 966;0,0019;
6 февраля 2023 – 12 февраля 2023;53 421;0,0018;
13 февраля 2023 – 19 февраля 2023;60 076;0,0020;
20 февраля 2023 – 26 февраля 2023;52 740;0,0019;
27 февраля 2023 – 5 марта 2023;62 961;0,0021;
6 марта 2023 – 12 марта 2023;54 278;0,0019;
13 марта 2023 – 19 марта 2023;55 335;0,0019;
20 марта 2023 – 26 марта 2023;57 413;0,0020;
27 марта 2023 – 2 апреля 2023;62 467;0,0022;
3 апреля 2023 – 9 апреля 2023;59 422;0,0021;
10 апреля 2023 – 16 апреля 2023;56 280;0,0020;
17 апреля 2023 – 23 апреля 2023;62 782;0,0023;
24 апреля 2023 – 30 апреля 2023;58 737;0,0022;
1 мая 2023 – 7 мая 2023;51 302;0,0020;
8 мая 2023 – 14 мая 2023;54 032;0,0021;
15 мая 2023 – 21 мая 2023;57 105;0,0021;
22 мая 2023 – 28 мая 2023;57 408;0,0022;
29 мая 2023 – 4 июня 2023;54 338;0,0022;
5 июня 2023 – 11 июня 2023;54 091;0,0022;
12 июня 2023 – 18 июня 2023;51 950;0,0022;
19 июня 2023 – 25 июня 2023;52 012;0,0021;
26 июня 2023 – 2 июля 2023;47 098;0,0020;
3 июля 2023 – 9 июля 2023;43 339;0,0019;
10 июля 2023 – 16 июля 2023;42 389;0,0018;
17 июля 2023 – 23 июля 2023;42 821;0,0018;
24 июля 2023 – 30 июля 2023;44 509;0,0019;
31 июля 2023 – 6 августа 2023;42 948;0,0019;
7 августа 2023 – 13 августа 2023;43 503;0,0019;
14 августа 2023 – 20 августа 2023;41 765;0,0018;
21 августа 2023 – 27 августа 2023;41 362;0,0018;
28 августа 2023 – 3 сентября 2023;41 017;0,0018;
4 сентября 2023 – 10 сентября 2023;45 910;0,0018;
11 сентября 2023 – 17 сентября 2023;55 373;0,0021;
18 сентября 2023 – 24 сентября 2023;61 675;0,0023;
25 сентября 2023 – 1 октября 2023;59 421;0,0022;
2 октября 2023 – 8 октября 2023;61 202;0,0023;
9 октября 2023 – 15 октября 2023;63 993;0,0023;
16 октября 2023 – 22 октября 2023;66 863;0,0024;
23 октября 2023 – 29 октября 2023;55 847;0,0020;
30 октября 2023 – 5 ноября 2023;57 877;0,0022;
6 ноября 2023 – 12 ноября 2023;56 207;0,0021;
13 ноября 2023 – 19 ноября 2023;56 761;0,0020;
20 ноября 2023 – 26 ноября 2023;57 985;0,0020;
27 ноября 2023 – 3 декабря 2023;57 991;0,0020;
4 декабря 2023 – 10 декабря 2023;65 718;0,0023;
11 декабря 2023 – 17 декабря 2023;63 099;0,0022;
18 декабря 2023 – 24 декабря 2023;58 121;0,0021;
25 декабря 2023 – 31 декабря 2023;47 570;0,0020;
1 января 2024 – 7 января 2024;47 716;0,0020;
8 января 2024 – 14 января 2024;57 769;0,0021;
15 января 2024 – 21 января 2024;60 620;0,0021;
22 января 2024 – 28 января 2024;61 156;0,0021;
29 января 2024 – 4 февраля 2024;60 832;0,0021;
5 февраля 2024 – 11 февраля 2024;59 311;0,0020;
12 февраля 2024 – 18 февраля 2024;60 536;0,0021;
19 февраля 2024 – 25 февраля 2024;69 034;0,0025;
