Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «что подарить на день рождения», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
20 февраля 2023 – 26 февраля 2023;117 539;0,0043;
27 февраля 2023 – 5 марта 2023;141 107;0,0049;
6 марта 2023 – 12 марта 2023;123 836;0,0045;
13 марта 2023 – 19 марта 2023;136 397;0,0047;
20 марта 2023 – 26 марта 2023;125 153;0,0045;
27 марта 2023 – 2 апреля 2023;123 312;0,0045;
3 апреля 2023 – 9 апреля 2023;125 672;0,0045;
10 апреля 2023 – 16 апреля 2023;118 034;0,0043;
17 апреля 2023 – 23 апреля 2023;119 565;0,0044;
24 апреля 2023 – 30 апреля 2023;116 472;0,0044;
1 мая 2023 – 7 мая 2023;118 324;0,0046;
8 мая 2023 – 14 мая 2023;111 872;0,0044;
15 мая 2023 – 21 мая 2023;117 302;0,0045;
22 мая 2023 – 28 мая 2023;113 624;0,0045;
29 мая 2023 – 4 июня 2023;117 270;0,0048;
5 июня 2023 – 11 июня 2023;122 202;0,0051;
12 июня 2023 – 18 июня 2023;118 567;0,0050;
19 июня 2023 – 25 июня 2023;120 492;0,0050;
26 июня 2023 – 2 июля 2023;123 108;0,0052;
3 июля 2023 – 9 июля 2023;120 269;0,0053;
10 июля 2023 – 16 июля 2023;127 201;0,0055;
17 июля 2023 – 23 июля 2023;123 379;0,0054;
24 июля 2023 – 30 июля 2023;125 135;0,0054;
31 июля 2023 – 6 августа 2023;125 317;0,0056;
7 августа 2023 – 13 августа 2023;125 274;0,0054;
14 августа 2023 – 20 августа 2023;118 694;0,0052;
21 августа 2023 – 27 августа 2023;114 492;0,0051;
28 августа 2023 – 3 сентября 2023;111 529;0,0050;
4 сентября 2023 – 10 сентября 2023;125 967;0,0051;
11 сентября 2023 – 17 сентября 2023;132 519;0,0052;
18 сентября 2023 – 24 сентября 2023;130 480;0,0050;
25 сентября 2023 – 1 октября 2023;132 309;0,0050;
2 октября 2023 – 8 октября 2023;142 926;0,0054;
9 октября 2023 – 15 октября 2023;142 530;0,0053;
16 октября 2023 – 22 октября 2023;179 923;0,0065;
23 октября 2023 – 29 октября 2023;132 045;0,0049;
30 октября 2023 – 5 ноября 2023;151 559;0,0059;
6 ноября 2023 – 12 ноября 2023;160 818;0,0060;
13 ноября 2023 – 19 ноября 2023;156 085;0,0056;
20 ноября 2023 – 26 ноября 2023;136 811;0,0049;
27 ноября 2023 – 3 декабря 2023;131 826;0,0046;
4 декабря 2023 – 10 декабря 2023;127 148;0,0044;
11 декабря 2023 – 17 декабря 2023;113 884;0,0040;
18 декабря 2023 – 24 декабря 2023;96 537;0,0035;
25 декабря 2023 – 31 декабря 2023;64 916;0,0027;
1 января 2024 – 7 января 2024;103 135;0,0044;
8 января 2024 – 14 января 2024;140 527;0,0052;
15 января 2024 – 21 января 2024;146 050;0,0051;
22 января 2024 – 28 января 2024;139 716;0,0049;
29 января 2024 – 4 февраля 2024;142 812;0,0050;
5 февраля 2024 – 11 февраля 2024;138 069;0,0047;
12 февраля 2024 – 18 февраля 2024;123 746;0,0042;
19 февраля 2024 – 25 февраля 2024;109 230;0,0039;
