Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «купить куртку», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
14 февраля 2022 – 20 февраля 2022;189 313;0,0064;
21 февраля 2022 – 27 февраля 2022;173 642;0,0061;
28 февраля 2022 – 6 марта 2022;165 475;0,0057;
7 марта 2022 – 13 марта 2022;176 846;0,0063;
14 марта 2022 – 20 марта 2022;198 172;0,0068;
21 марта 2022 – 27 марта 2022;208 762;0,0073;
28 марта 2022 – 3 апреля 2022;179 147;0,0063;
4 апреля 2022 – 10 апреля 2022;183 772;0,0064;
11 апреля 2022 – 17 апреля 2022;145 054;0,0051;
18 апреля 2022 – 24 апреля 2022;126 088;0,0045;
25 апреля 2022 – 1 мая 2022;112 224;0,0042;
2 мая 2022 – 8 мая 2022;104 077;0,0041;
9 мая 2022 – 15 мая 2022;107 401;0,0039;
16 мая 2022 – 22 мая 2022;113 140;0,0039;
23 мая 2022 – 29 мая 2022;95 531;0,0035;
30 мая 2022 – 5 июня 2022;80 696;0,0031;
6 июня 2022 – 12 июня 2022;61 422;0,0024;
13 июня 2022 – 19 июня 2022;58 798;0,0023;
20 июня 2022 – 26 июня 2022;57 371;0,0022;
27 июня 2022 – 3 июля 2022;48 815;0,0020;
4 июля 2022 – 10 июля 2022;49 546;0,0021;
11 июля 2022 – 17 июля 2022;57 973;0,0024;
18 июля 2022 – 24 июля 2022;73 637;0,0031;
25 июля 2022 – 31 июля 2022;73 041;0,0030;
1 августа 2022 – 7 августа 2022;74 585;0,0031;
8 августа 2022 – 14 августа 2022;86 870;0,0036;
15 августа 2022 – 21 августа 2022;101 119;0,0041;
22 августа 2022 – 28 августа 2022;123 739;0,0050;
29 августа 2022 – 4 сентября 2022;217 031;0,0086;
5 сентября 2022 – 11 сентября 2022;304 083;0,0112;
12 сентября 2022 – 18 сентября 2022;242 409;0,0088;
19 сентября 2022 – 25 сентября 2022;195 846;0,0070;
26 сентября 2022 – 2 октября 2022;204 375;0,0075;
3 октября 2022 – 9 октября 2022;195 137;0,0071;
10 октября 2022 – 16 октября 2022;201 928;0,0073;
17 октября 2022 – 23 октября 2022;247 920;0,0085;
24 октября 2022 – 30 октября 2022;244 637;0,0086;
31 октября 2022 – 6 ноября 2022;286 825;0,0103;
7 ноября 2022 – 13 ноября 2022;220 775;0,0076;
14 ноября 2022 – 20 ноября 2022;258 777;0,0086;
21 ноября 2022 – 27 ноября 2022;210 245;0,0070;
28 ноября 2022 – 4 декабря 2022;193 925;0,0065;
5 декабря 2022 – 11 декабря 2022;160 025;0,0054;
12 декабря 2022 – 18 декабря 2022;129 332;0,0044;
19 декабря 2022 – 25 декабря 2022;115 789;0,0040;
26 декабря 2022 – 1 января 2023;82 705;0,0034;
2 января 2023 – 8 января 2023;114 757;0,0047;
9 января 2023 – 15 января 2023;114 622;0,0040;
16 января 2023 – 22 января 2023;111 100;0,0038;
23 января 2023 – 29 января 2023;112 772;0,0038;
30 января 2023 – 5 февраля 2023;113 821;0,0039;
6 февраля 2023 – 12 февраля 2023;111 140;0,0038;
13 февраля 2023 – 19 февраля 2023;115 561;0,0040;
20 февраля 2023 – 26 февраля 2023;116 165;0,0042;
27 февраля 2023 – 5 марта 2023;128 331;0,0044;
6 марта 2023 – 12 марта 2023;140 550;0,0051;
13 марта 2023 – 19 марта 2023;164 247;0,0057;
20 марта 2023 – 26 марта 2023;160 128;0,0058;
27 марта 2023 – 2 апреля 2023;125 932;0,0046;
3 апреля 2023 – 9 апреля 2023;112 922;0,0041;
10 апреля 2023 – 16 апреля 2023;91 646;0,0034;
17 апреля 2023 – 23 апреля 2023;83 428;0,0031;
24 апреля 2023 – 30 апреля 2023;73 170;0,0027;
1 мая 2023 – 7 мая 2023;65 032;0,0025;
8 мая 2023 – 14 мая 2023;57 996;0,0023;
15 мая 2023 – 21 мая 2023;52 262;0,0020;
22 мая 2023 – 28 мая 2023;44 000;0,0017;
29 мая 2023 – 4 июня 2023;45 463;0,0018;
5 июня 2023 – 11 июня 2023;43 780;0,0018;
12 июня 2023 – 18 июня 2023;37 782;0,0016;
19 июня 2023 – 25 июня 2023;41 258;0,0017;
26 июня 2023 – 2 июля 2023;41 693;0,0017;
3 июля 2023 – 9 июля 2023;37 577;0,0016;
10 июля 2023 – 16 июля 2023;51 575;0,0022;
17 июля 2023 – 23 июля 2023;52 576;0,0023;
24 июля 2023 – 30 июля 2023;59 533;0,0026;
31 июля 2023 – 6 августа 2023;50 722;0,0022;
7 августа 2023 – 13 августа 2023;64 515;0,0028;
14 августа 2023 – 20 августа 2023;83 261;0,0037;
21 августа 2023 – 27 августа 2023;116 399;0,0052;
28 августа 2023 – 3 сентября 2023;114 390;0,0051;
4 сентября 2023 – 10 сентября 2023;147 810;0,0060;
11 сентября 2023 – 17 сентября 2023;150 571;0,0059;
18 сентября 2023 – 24 сентября 2023;139 577;0,0054;
25 сентября 2023 – 1 октября 2023;150 927;0,0057;
2 октября 2023 – 8 октября 2023;218 013;0,0082;
9 октября 2023 – 15 октября 2023;244 608;0,0091;
16 октября 2023 – 22 октября 2023;225 216;0,0082;
23 октября 2023 – 29 октября 2023;241 083;0,0089;
30 октября 2023 – 5 ноября 2023;191 482;0,0075;
6 ноября 2023 – 12 ноября 2023;180 453;0,0067;
13 ноября 2023 – 19 ноября 2023;202 664;0,0073;
20 ноября 2023 – 26 ноября 2023;221 991;0,0079;
27 ноября 2023 – 3 декабря 2023;170 343;0,0060;
4 декабря 2023 – 10 декабря 2023;161 191;0,0056;
11 декабря 2023 – 17 декабря 2023;130 151;0,0046;
18 декабря 2023 – 24 декабря 2023;103 886;0,0038;
25 декабря 2023 – 31 декабря 2023;86 569;0,0036;
1 января 2024 – 7 января 2024;103 065;0,0044;
8 января 2024 – 14 января 2024;108 613;0,0040;
15 января 2024 – 21 января 2024;106 008;0,0037;
22 января 2024 – 28 января 2024;108 915;0,0038;
29 января 2024 – 4 февраля 2024;119 369;0,0041;
5 февраля 2024 – 11 февраля 2024;134 563;0,0046;
12 февраля 2024 – 18 февраля 2024;125 137;0,0043;
19 февраля 2024 – 25 февраля 2024;130 209;0,0047;
