Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «что такое git», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
20 марта 2023 – 26 марта 2023;86 127;0,00312;
27 марта 2023 – 2 апреля 2023;88 690;0,00325;
3 апреля 2023 – 9 апреля 2023;84 309;0,00307;
10 апреля 2023 – 16 апреля 2023;86 765;0,00321;
17 апреля 2023 – 23 апреля 2023;87 597;0,00325;
24 апреля 2023 – 30 апреля 2023;80 484;0,00305;
1 мая 2023 – 7 мая 2023;73 292;0,00289;
8 мая 2023 – 14 мая 2023;67 398;0,00269;
15 мая 2023 – 21 мая 2023;81 640;0,00314;
22 мая 2023 – 28 мая 2023;81 381;0,00325;
29 мая 2023 – 4 июня 2023;82 778;0,00339;
5 июня 2023 – 11 июня 2023;77 465;0,00323;
12 июня 2023 – 18 июня 2023;72 326;0,00309;
19 июня 2023 – 25 июня 2023;76 888;0,00322;
26 июня 2023 – 2 июля 2023;81 477;0,00350;
3 июля 2023 – 9 июля 2023;77 273;0,00343;
10 июля 2023 – 16 июля 2023;73 505;0,00321;
17 июля 2023 – 23 июля 2023;70 580;0,00311;
24 июля 2023 – 30 июля 2023;72 522;0,00317;
31 июля 2023 – 6 августа 2023;69 662;0,00311;
7 августа 2023 – 13 августа 2023;69 159;0,00302;
14 августа 2023 – 20 августа 2023;64 570;0,00287;
21 августа 2023 – 27 августа 2023;62 282;0,00279;
28 августа 2023 – 3 сентября 2023;64 881;0,00291;
4 сентября 2023 – 10 сентября 2023;78 326;0,00321;
11 сентября 2023 – 17 сентября 2023;79 609;0,00315;
18 сентября 2023 – 24 сентября 2023;80 530;0,00312;
25 сентября 2023 – 1 октября 2023;82 887;0,00317;
2 октября 2023 – 8 октября 2023;88 188;0,00335;
9 октября 2023 – 15 октября 2023;84 990;0,00317;
16 октября 2023 – 22 октября 2023;84 822;0,00309;
23 октября 2023 – 29 октября 2023;84 562;0,00314;
30 октября 2023 – 5 ноября 2023;82 755;0,00326;
6 ноября 2023 – 12 ноября 2023;81 216;0,00305;
13 ноября 2023 – 19 ноября 2023;86 184;0,00313;
20 ноября 2023 – 26 ноября 2023;87 280;0,00313;
27 ноября 2023 – 3 декабря 2023;83 893;0,00298;
4 декабря 2023 – 10 декабря 2023;83 858;0,00295;
11 декабря 2023 – 17 декабря 2023;80 400;0,00288;
18 декабря 2023 – 24 декабря 2023;76 709;0,00281;
25 декабря 2023 – 31 декабря 2023;59 019;0,00248;
1 января 2024 – 7 января 2024;36 358;0,00156;
8 января 2024 – 14 января 2024;70 263;0,00260;
15 января 2024 – 21 января 2024;81 047;0,00287;
22 января 2024 – 28 января 2024;83 190;0,00293;
29 января 2024 – 4 февраля 2024;85 789;0,00300;
5 февраля 2024 – 11 февраля 2024;93 066;0,00322;
12 февраля 2024 – 18 февраля 2024;95 866;0,00332;
19 февраля 2024 – 25 февраля 2024;84 302;0,00306;
